timestamp,meta_test_type,meta_endpoint,meta_architecture,meta_label,meta_run_name,container_blkio_device_usage_total,container_cpu_cfs_periods_total,container_cpu_cfs_throttled_periods_total,container_cpu_system_seconds_total,container_memory_working_set_bytes,http_client_requests_active_seconds_count,http_client_requests_active_seconds_max,http_client_requests_seconds_count,http_client_requests_seconds_max,http_server_requests_active_seconds_bucket,http_server_requests_active_seconds_gsum,http_server_requests_seconds_count,http_server_requests_seconds_sum,image_cache_hits_total,image_cache_load_duration_seconds_sum,image_processed_bytes_total,jvm_gc_live_data_size_bytes,jvm_gc_overhead,jvm_gc_pause_seconds_max,jvm_memory_usage_after_gc,jvm_memory_used_bytes,jvm_threads_daemon_threads,jvm_threads_live_threads,k6_data_received_total,k6_http_req_blocked_p99,k6_http_req_duration_p99,k6_http_req_receiving_p99,k6_http_req_sending_p99,k6_http_req_waiting_p99,k6_http_reqs_total,k6_vus,process_cpu_usage,process_files_open_files,process_open_fds,process_resident_memory_bytes,process_start_time_seconds,producer_fetch_duration_seconds_max,reactor_netty_bytebuf_allocator_active_direct_memory,reactor_netty_bytebuf_allocator_used_direct_memory,reactor_netty_connection_provider_active_connections,reactor_netty_connection_provider_idle_connections,reactor_netty_connection_provider_total_connections,reactor_netty_eventloop_pending_tasks,reactor_netty_http_client_address_resolver_seconds_max,reactor_netty_http_client_connect_time_seconds_max,reactor_netty_http_client_data_sent_time_seconds_max,reactor_netty_http_server_connections,reactor_netty_http_server_connections_active,reactor_netty_http_server_data_received_time_seconds_sum,reactor_netty_http_server_data_sent_time_seconds_sum,reactor_netty_http_server_response_time_seconds_sum,tomcat_connections_current_connections,tomcat_global_request_max_seconds,tomcat_global_request_seconds_count,tomcat_servlet_request_max_seconds
1774553540.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58556416.0,48389.0,759.0,287.58287,208216064.0,0.0,0.0,18944.0,0.0,1.0,0.001532326,2.0,3.77328095,5773.0,6.092161786,24938415768.0,21114504.0,9.666666666666668e-05,0.0,0.1752384901046753,4118648.0,12.0,14.0,3982114801.0,,,,,,,6.0,0.0055555555555555,26.0,15.0,57700352.0,1774539572.948,0.0,0.0,25165824.0,0.0,45.0,45.0,0.0,0.0,0.0,0.0,1.0,1.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36885.0,48.165
1774553545.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58556416.0,48432.0,759.0,287.686979,208670720.0,1.0,0.166902678,18944.0,0.0,2.0,0.16854146,2.0,3.77328095,5773.0,6.092161786,24938517885.0,21114504.0,9.666666666666668e-05,0.0,0.1752384901046753,6084032.0,12.0,14.0,3982114801.0,,,,,,,7.0,0.0617283950617283,30.0,15.0,57700352.0,1774539572.948,0.614111457,0.0,25165824.0,1.0,1.0,2.0,0.0,0.046931928,0.002533725,0.0,3.0,2.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36885.0,48.165
1774553550.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58556416.0,48432.0,759.0,287.686979,208670720.0,1.0,0.166902678,18944.0,0.0,2.0,0.16854146,2.0,3.77328095,5773.0,6.092161786,24938517885.0,21114504.0,9.666666666666668e-05,0.0,0.1752384901046753,6084032.0,12.0,14.0,10485170.0,0.000624996,0.2223210879999999,0.028666249,0.0,0.193654839,2.0,7.0,0.0617283950617283,30.0,14.0,62287872.0,1774539572.948,0.614111457,0.0,25165824.0,1.0,1.0,2.0,0.0,0.046931928,0.002533725,0.0,3.0,2.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36886.0,48.165
1774553555.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58556416.0,48432.0,759.0,287.686979,208670720.0,16.0,0.791750612,18944.0,0.0,17.0,4.40473938,2.0,3.77328095,5773.0,6.092161786,24995969935.0,21114504.0,0.0001333333333333,0.0,0.1752384901046753,9112032.0,12.0,14.0,46589719.0,0.000615558,1.012975755,0.0382194429999999,0.0,0.993450167,14.0,23.0,0.0448979591836734,61.0,14.0,62287872.0,1774539572.948,0.995826231,0.0,25165824.0,16.0,1.0,17.0,0.0,0.046931928,0.002533725,0.0,19.0,17.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36886.0,48.165
1774553560.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58556416.0,48545.0,759.0,288.235099,208629760.0,16.0,0.791750612,18944.0,0.0,17.0,4.40473938,2.0,3.77328095,5773.0,6.092161786,24995969935.0,21114504.0,0.0001333333333333,0.0,0.1752384901046753,9112032.0,12.0,14.0,127557028.0,0.000701686,1.01445334,0.065397092,0.000409488,0.994081581,44.0,31.0,0.0448979591836734,61.0,14.0,63336448.0,1774539572.948,0.995826231,0.0,25165824.0,16.0,1.0,17.0,0.0,0.046931928,0.002533725,0.0,19.0,17.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36887.0,48.165
1774553565.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58556416.0,48545.0,759.0,288.235099,208629760.0,24.0,0.740775942,18944.0,0.0,25.0,9.025616362,2.0,3.77328095,5773.0,6.092161786,25179563002.0,21114504.0,0.00029,0.0,0.1752384901046753,7500496.0,12.0,14.0,222405850.0,0.00066015,1.131119725,0.225398375,0.0001796,1.004055275,76.0,40.0,0.1546666666666666,93.0,14.0,63336448.0,1774539572.948,1.004533227,0.0,25165824.0,24.0,9.0,33.0,0.0,0.046931928,0.002533725,0.0,35.0,25.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36887.0,48.165
1774553570.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58580992.0,48643.0,759.0,289.444655,208695296.0,24.0,0.740775942,18944.0,0.0,25.0,9.025616362,2.0,3.77328095,5773.0,6.092161786,25179563002.0,21114504.0,0.00029,0.0,0.1752384901046753,7500496.0,12.0,14.0,350483013.0,0.0010213839999999,1.1044281839999996,0.2169688219999999,0.0004043359999999,0.995146342,127.0,48.0,0.1546666666666666,93.0,15.0,58892288.0,1774539572.948,1.004533227,0.0,25165824.0,24.0,9.0,33.0,0.0,0.046931928,0.002533725,0.0,35.0,25.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36888.0,48.165
1774553575.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58580992.0,48729.0,759.0,290.708917,208797696.0,37.0,0.927641962,18944.0,0.0,40.0,15.328609858,2.0,3.77328095,5773.0,6.092161786,25477636758.0,21114504.0,0.0005433333333333,0.0,0.1769751906394958,4262976.0,12.0,14.0,514911083.0,0.001115332,1.12502893,0.2109964659999999,0.0006076119999999,0.99398513,179.0,56.0,0.2066666666666666,124.0,15.0,58892288.0,1774539572.948,1.011984223,139312.0,25165824.0,39.0,8.0,47.0,0.0,0.046931928,0.002533725,0.0,52.0,40.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36888.0,48.165
1774553580.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58580992.0,48729.0,759.0,290.708917,208797696.0,37.0,0.927641962,18944.0,0.0,40.0,15.328609858,2.0,3.77328095,5773.0,6.092161786,25477636758.0,21114504.0,0.0005433333333333,0.0,0.1769751906394958,4262976.0,12.0,14.0,697143182.0,0.00098929,1.0976334900000004,0.20416526,0.000597735,0.99545978,236.0,64.0,0.2066666666666666,124.0,14.0,56975360.0,1774539572.948,1.011984223,139312.0,25165824.0,39.0,8.0,47.0,0.0,0.046931928,0.002533725,0.0,52.0,40.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36889.0,48.165
1774553585.0,stress,raw,reactive,checkpoint_1,stress-raw-20260326-162027-reactive-checkpoint_1,58580992.0,48729.0,759.0,290.708917,208797696.0,43.0,0.899742041,18944.0,0.0,44.0,15.16821664,2.0,3.77328095,5773.0,6.092161786,25906651142.0,21114504.0,0.00085,0.0,0.1800316572189331,7224888.0,12.0,14.0,912331864.0,0.000730242,1.1473020280000006,0.3747309000000002,0.000600801,0.997715927,322.0,73.0,0.326,151.0,14.0,56975360.0,1774539572.948,1.063243293,0.0,25165824.0,43.0,15.0,58.0,0.0,0.046931928,0.002533725,0.0,68.0,44.0,0.494747248,0.424543136,4.256683668,2.0,48.171,36889.0,48.165
